lngDateSN,strYearT1,strYearT2,strMonthT1,strMonthT2,strDayT1,strDayT2,strHourT,strDayFive,strDayTwelve,strDayNine,strDayTwentyEight,strHourTwentyEight,strDayEight
20200201,己,亥,丁,丑,甲,戌,甲戌,火,收,2黑,胃,牛,兌
20200202,己,亥,丁,丑,乙,亥,丙戌,火,開,3碧,昂,參,離
20200203,己,亥,丁,丑,丙,子,戊戌,水,閉,4綠,畢,心,震
20200204,己,亥,戊,寅,丁,丑,庚戌,水,建,5黃,觜,胃,巽
20200205,庚,子,戊,寅,戊,寅,壬戌,土,建,6白,參,角,坎
20200206,庚,子,戊,寅,己,卯,甲戌,土,除,7赤,井,室,艮
20200207,庚,子,戊,寅,庚,辰,丙戌,金,滿,8白,鬼,星,坤
20200208,庚,子,戊,寅,辛,巳,戊戌,金,平,9紫,柳,牛,乾
20200209,庚,子,戊,寅,壬,午,庚戌,木,定,1白,星,參,兌
20200210,庚,子,戊,寅,癸,未,壬戌,木,執,2黑,張,心,離
20200211,庚,子,戊,寅,甲,申,甲戌,水,破,3碧,翼,胃,震
20200212,庚,子,戊,寅,乙,酉,丙戌,水,危,4綠,軫,角,巽
20200213,庚,子,戊,寅,丙,戌,戊戌,土,成,5黃,角,室,坎
20200214,庚,子,戊,寅,丁,亥,庚戌,土,收,6白,亢,星,艮
20200215,庚,子,戊,寅,戊,子,壬戌,火,開,7赤,氐,牛,坤
20200216,庚,子,戊,寅,己,丑,甲戌,火,閉,8白,房,參,乾
20200217,庚,子,戊,寅,庚,寅,丙戌,木,建,9紫,心,心,兌
20200218,庚,子,戊,寅,辛,卯,戊戌,木,除,1白,尾,胃,離
20200219,庚,子,戊,寅,壬,辰,庚戌,水,滿,2黑,箕,角,震
20200220,庚,子,戊,寅,癸,巳,壬戌,水,平,9紫,斗,室,巽
20200221,庚,子,戊,寅,甲,午,甲戌,金,定,1白,牛,星,坎
20200222,庚,子,戊,寅,乙,未,丙戌,金,執,2黑,女,牛,艮
20200223,庚,子,戊,寅,丙,申,戊戌,火,破,3碧,虛,參,坤
20200224,庚,子,戊,寅,丁,酉,庚戌,火,危,4綠,危,心,乾
20200225,庚,子,戊,寅,戊,戌,壬戌,木,成,5黃,室,胃,兌
20200226,庚,子,戊,寅,己,亥,甲戌,木,收,6白,壁,角,離
20200227,庚,子,戊,寅,庚,子,丙戌,土,開,7赤,奎,室,震
20200228,庚,子,戊,寅,辛,丑,戊戌,土,閉,8白,婁,星,巽
20200229,庚,子,戊,寅,壬,寅,庚戌,金,建,9紫,胃,牛,坎
20200301,庚,子,戊,寅,癸,卯,壬戌,金,除,1白,昂,參,巽
20200302,庚,子,戊,寅,甲,辰,甲戌,火,滿,2黑,畢,心,坎
20200303,庚,子,戊,寅,乙,巳,丙戌,火,平,3碧,觜,胃,艮
20200304,庚,子,戊,寅,丙,午,戊戌,水,定,4綠,參,角,坤
20200305,庚,子,己,卯,丁,未,庚戌,水,定,5黃,井,室,乾
20200306,庚,子,己,卯,戊,申,壬戌,土,執,6白,鬼,星,兌
20200307,庚,子,己,卯,己,酉,甲戌,土,破,7赤,柳,牛,離
20200308,庚,子,己,卯,庚,戌,丙戌,金,危,8白,星,參,震
20200309,庚,子,己,卯,辛,亥,戊戌,金,成,9紫,張,心,巽
20200310,庚,子,己,卯,壬,子,庚戌,木,收,1白,翼,胃,坎
20200311,庚,子,己,卯,癸,丑,壬戌,木,開,2黑,軫,角,艮
20200312,庚,子,己,卯,甲,寅,甲戌,水,閉,3碧,角,室,坤
20200313,庚,子,己,卯,乙,卯,丙戌,水,建,4綠,亢,星,乾
20200314,庚,子,己,卯,丙,辰,戊戌,土,除,5黃,氐,牛,兌
20200315,庚,子,己,卯,丁,巳,庚戌,土,滿,6白,房,參,離
20200316,庚,子,己,卯,戊,午,壬戌,火,平,7赤,心,心,震
20200317,庚,子,己,卯,己,未,甲戌,火,定,8白,尾,胃,巽
20200318,庚,子,己,卯,庚,申,丙戌,木,執,9紫,箕,角,坎
20200319,庚,子,己,卯,辛,酉,戊戌,木,破,1白,斗,室,艮
20200320,庚,子,己,卯,壬,戌,庚戌,水,危,2黑,牛,星,坤
20200321,庚,子,己,卯,癸,亥,壬戌,水,成,3碧,女,牛,乾
20200322,庚,子,己,卯,甲,子,甲戌,金,收,7赤,虛,參,兌
20200323,庚,子,己,卯,乙,丑,丙戌,金,開,8白,危,心,離
20200324,庚,子,己,卯,丙,寅,戊戌,火,閉,9紫,室,胃,震
20200325,庚,子,己,卯,丁,卯,庚戌,火,建,1白,壁,角,巽
20200326,庚,子,己,卯,戊,辰,壬戌,木,除,2黑,奎,室,坎
20200327,庚,子,己,卯,己,巳,甲戌,木,滿,3碧,婁,星,艮
20200328,庚,子,己,卯,庚,午,丙戌,土,平,4綠,胃,牛,坤
20200329,庚,子,己,卯,辛,未,戊戌,土,定,5黃,昂,參,乾
20200330,庚,子,己,卯,壬,申,庚戌,金,執,6白,畢,心,兌
20200331,庚,子,己,卯,癸,酉,壬戌,金,破,7赤,觜,胃,離
20200401,庚,子,己,卯,甲,戌,甲戌,火,危,8白,參,角,艮
20200402,庚,子,己,卯,乙,亥,丙戌,火,成,9紫,井,室,坤
20200403,庚,子,己,卯,丙,子,戊戌,水,收,1白,鬼,星,乾
20200404,庚,子,庚,辰,丁,丑,庚戌,水,開,2黑,柳,牛,兌
20200405,庚,子,庚,辰,戊,寅,壬戌,土,開,3碧,星,參,離
20200406,庚,子,庚,辰,己,卯,甲戌,土,閉,4綠,張,心,震
20200407,庚,子,庚,辰,庚,辰,丙戌,金,建,5黃,翼,胃,巽
20200408,庚,子,庚,辰,辛,巳,戊戌,金,除,6白,軫,角,坎
20200409,庚,子,庚,辰,壬,午,庚戌,木,滿,7赤,角,室,艮
20200410,庚,子,庚,辰,癸,未,壬戌,木,平,8白,亢,星,坤
20200411,庚,子,庚,辰,甲,申,甲戌,水,定,9紫,氐,牛,乾
20200412,庚,子,庚,辰,乙,酉,丙戌,水,執,1白,房,參,兌
20200413,庚,子,庚,辰,丙,戌,戊戌,土,破,2黑,心,心,離
20200414,庚,子,庚,辰,丁,亥,庚戌,土,危,3碧,尾,胃,震
20200415,庚,子,庚,辰,戊,子,壬戌,火,成,4綠,箕,角,震
20200416,庚,子,庚,辰,己,丑,甲戌,火,收,5黃,斗,室,巽
20200417,庚,子,庚,辰,庚,寅,丙戌,木,開,6白,牛,星,坎
20200418,庚,子,庚,辰,辛,卯,戊戌,木,閉,7赤,女,牛,艮
20200419,庚,子,庚,辰,壬,辰,庚戌,水,建,8白,虛,參,坤
20200420,庚,子,庚,辰,癸,巳,壬戌,水,除,6白,危,心,乾
20200421,庚,子,庚,辰,甲,午,甲戌,金,滿,7赤,室,胃,兌
20200422,庚,子,庚,辰,乙,未,丙戌,金,平,8白,壁,角,離
20200423,庚,子,庚,辰,丙,申,戊戌,火,定,9紫,奎,室,震
20200424,庚,子,庚,辰,丁,酉,庚戌,火,執,1白,婁,星,巽
20200425,庚,子,庚,辰,戊,戌,壬戌,木,破,2黑,胃,牛,坎
20200426,庚,子,庚,辰,己,亥,甲戌,木,危,3碧,昂,參,艮
20200427,庚,子,庚,辰,庚,子,丙戌,土,成,4綠,畢,心,坤
20200428,庚,子,庚,辰,辛,丑,戊戌,土,收,5黃,觜,胃,乾
20200429,庚,子,庚,辰,壬,寅,庚戌,金,開,6白,參,角,兌
20200430,庚,子,庚,辰,癸,卯,壬戌,金,閉,7赤,井,室,離
20200501,庚,子,庚,辰,甲,辰,甲戌,火,建,8白,鬼,星,震
20200502,庚,子,庚,辰,乙,巳,丙戌,火,除,9紫,柳,牛,巽
20200503,庚,子,庚,辰,丙,午,戊戌,水,滿,1白,星,參,坎
20200504,庚,子,庚,辰,丁,未,庚戌,水,平,2黑,張,心,艮
20200505,庚,子,辛,巳,戊,申,壬戌,土,平,3碧,翼,胃,坤
20200506,庚,子,辛,巳,己,酉,甲戌,土,定,4綠,軫,角,乾
20200507,庚,子,辛,巳,庚,戌,丙戌,金,執,5黃,角,室,兌
20200508,庚,子,辛,巳,辛,亥,戊戌,金,破,6白,亢,星,離
20200509,庚,子,辛,巳,壬,子,庚戌,木,危,7赤,氐,牛,震
20200510,庚,子,辛,巳,癸,丑,壬戌,木,成,8白,房,參,巽
20200511,庚,子,辛,巳,甲,寅,甲戌,水,收,9紫,心,心,坎
20200512,庚,子,辛,巳,乙,卯,丙戌,水,開,1白,尾,胃,艮
20200513,庚,子,辛,巳,丙,辰,戊戌,土,閉,2黑,箕,角,坤
20200514,庚,子,辛,巳,丁,巳,庚戌,土,建,3碧,斗,室,乾
20200515,庚,子,辛,巳,戊,午,壬戌,火,除,4綠,牛,星,兌
20200516,庚,子,辛,巳,己,未,甲戌,火,滿,5黃,女,牛,離
20200517,庚,子,辛,巳,庚,申,丙戌,木,平,6白,虛,參,震
20200518,庚,子,辛,巳,辛,酉,戊戌,木,定,7赤,危,心,巽
20200519,庚,子,辛,巳,壬,戌,庚戌,水,執,8白,室,胃,坎
20200520,庚,子,辛,巳,癸,亥,壬戌,水,破,9紫,壁,角,艮
20200521,庚,子,辛,巳,甲,子,甲戌,金,危,4綠,奎,室,坤
20200522,庚,子,辛,巳,乙,丑,丙戌,金,成,5黃,婁,星,乾
20200523,庚,子,辛,巳,丙,寅,戊戌,火,收,6白,胃,牛,兌
20200524,庚,子,辛,巳,丁,卯,庚戌,火,開,7赤,昂,參,離
20200525,庚,子,辛,巳,戊,辰,壬戌,木,閉,8白,畢,心,震
20200526,庚,子,辛,巳,己,巳,甲戌,木,建,9紫,觜,胃,巽
20200527,庚,子,辛,巳,庚,午,丙戌,土,除,1白,參,角,坎
20200528,庚,子,辛,巳,辛,未,戊戌,土,滿,2黑,井,室,艮
20200529,庚,子,辛,巳,壬,申,庚戌,金,平,3碧,鬼,星,坤
20200530,庚,子,辛,巳,癸,酉,壬戌,金,定,4綠,柳,牛,乾
20200531,庚,子,辛,巳,甲,戌,甲戌,火,執,5黃,星,參,兌
20200601,庚,子,辛,巳,乙,亥,丙戌,火,破,6白,張,心,離
20200602,庚,子,辛,巳,丙,子,戊戌,水,危,7赤,翼,胃,震
20200603,庚,子,辛,巳,丁,丑,庚戌,水,成,8白,軫,角,巽
20200604,庚,子,辛,巳,戊,寅,壬戌,土,收,9紫,角,室,坎
20200605,庚,子,壬,午,己,卯,甲戌,土,開,1白,亢,星,艮
20200606,庚,子,壬,午,庚,辰,丙戌,金,開,2黑,氐,牛,坤
20200607,庚,子,壬,午,辛,巳,戊戌,金,閉,3碧,房,參,乾
20200608,庚,子,壬,午,壬,午,庚戌,木,建,4綠,心,心,兌
20200609,庚,子,壬,午,癸,未,壬戌,木,除,5黃,尾,胃,離
20200610,庚,子,壬,午,甲,申,甲戌,水,滿,6白,箕,角,震
20200611,庚,子,壬,午,乙,酉,丙戌,水,平,7赤,斗,室,巽
20200612,庚,子,壬,午,丙,戌,戊戌,土,定,8白,牛,星,坎
20200613,庚,子,壬,午,丁,亥,庚戌,土,執,9紫,女,牛,艮
20200614,庚,子,壬,午,戊,子,壬戌,火,破,1白,虛,參,坤
20200615,庚,子,壬,午,己,丑,甲戌,火,危,2黑,危,心,乾
20200616,庚,子,壬,午,庚,寅,丙戌,木,成,3碧,室,胃,兌
20200617,庚,子,壬,午,辛,卯,戊戌,木,收,4綠,壁,角,離
20200618,庚,子,壬,午,壬,辰,庚戌,水,開,5黃,奎,室,震
20200619,庚,子,壬,午,癸,巳,壬戌,水,閉,6白,婁,星,巽
20200620,庚,子,壬,午,甲,午,甲戌,金,建,7赤,胃,牛,坎
20200621,庚,子,壬,午,乙,未,丙戌,金,除,5黃,昂,參,坤
20200622,庚,子,壬,午,丙,申,戊戌,火,滿,4綠,畢,心,艮
20200623,庚,子,壬,午,丁,酉,庚戌,火,平,3碧,觜,胃,坎
20200624,庚,子,壬,午,戊,戌,壬戌,木,定,2黑,參,角,巽
20200625,庚,子,壬,午,己,亥,甲戌,木,執,1白,井,室,震
20200626,庚,子,壬,午,庚,子,丙戌,土,破,9紫,鬼,星,離
20200627,庚,子,壬,午,辛,丑,戊戌,土,危,8白,柳,牛,兌
20200628,庚,子,壬,午,壬,寅,庚戌,金,成,7赤,星,參,乾
20200629,庚,子,壬,午,癸,卯,壬戌,金,收,6白,張,心,坤
20200630,庚,子,壬,午,甲,辰,甲戌,火,開,5黃,翼,胃,艮
20200701,庚,子,壬,午,乙,巳,丙戌,火,閉,4綠,軫,角,坎
20200702,庚,子,壬,午,丙,午,戊戌,水,建,3碧,角,室,巽
20200703,庚,子,壬,午,丁,未,庚戌,水,除,2黑,亢,星,震
20200704,庚,子,壬,午,戊,申,壬戌,土,滿,1白,氐,牛,離
20200705,庚,子,壬,午,己,酉,甲戌,土,平,9紫,房,參,兌
20200706,庚,子,癸,未,庚,戌,丙戌,金,定,8白,心,心,乾
20200707,庚,子,癸,未,辛,亥,戊戌,金,定,7赤,尾,胃,坤
20200708,庚,子,癸,未,壬,子,庚戌,木,執,6白,箕,角,艮
20200709,庚,子,癸,未,癸,丑,壬戌,木,破,5黃,斗,室,坎
20200710,庚,子,癸,未,甲,寅,甲戌,水,危,4綠,牛,星,巽
20200711,庚,子,癸,未,乙,卯,丙戌,水,成,3碧,女,牛,震
20200712,庚,子,癸,未,丙,辰,戊戌,土,收,2黑,虛,參,離
20200713,庚,子,癸,未,丁,巳,庚戌,土,開,1白,危,心,兌
20200714,庚,子,癸,未,戊,午,壬戌,火,閉,9紫,室,胃,乾
20200715,庚,子,癸,未,己,未,甲戌,火,建,8白,壁,角,坤
20200716,庚,子,癸,未,庚,申,丙戌,木,除,7赤,奎,室,艮
20200717,庚,子,癸,未,辛,酉,戊戌,木,滿,6白,婁,星,坎
20200718,庚,子,癸,未,壬,戌,庚戌,水,平,5黃,胃,牛,巽
20200719,庚,子,癸,未,癸,亥,壬戌,水,定,4綠,昂,參,震
20200720,庚,子,癸,未,甲,子,甲戌,金,執,9紫,畢,心,離
20200721,庚,子,癸,未,乙,丑,丙戌,金,破,8白,觜,胃,兌
20200722,庚,子,癸,未,丙,寅,戊戌,火,危,7赤,參,角,乾
20200723,庚,子,癸,未,丁,卯,庚戌,火,成,6白,井,室,坤
20200724,庚,子,癸,未,戊,辰,壬戌,木,收,5黃,鬼,星,艮
20200725,庚,子,癸,未,己,巳,甲戌,木,開,4綠,柳,牛,坎
20200726,庚,子,癸,未,庚,午,丙戌,土,閉,3碧,星,參,巽
20200727,庚,子,癸,未,辛,未,戊戌,土,建,2黑,張,心,震
20200728,庚,子,癸,未,壬,申,庚戌,金,除,1白,翼,胃,離
20200729,庚,子,癸,未,癸,酉,壬戌,金,滿,9紫,軫,角,兌
20200730,庚,子,癸,未,甲,戌,甲戌,火,平,8白,角,室,乾
20200731,庚,子,癸,未,乙,亥,丙戌,火,定,7赤,亢,星,坤
20200801,庚,子,癸,未,丙,子,戊戌,水,執,6白,氐,牛,艮
20200802,庚,子,癸,未,丁,丑,庚戌,水,破,5黃,房,參,坎
20200803,庚,子,癸,未,戊,寅,壬戌,土,危,4綠,心,心,巽
20200804,庚,子,癸,未,己,卯,甲戌,土,成,3碧,尾,胃,震
20200805,庚,子,癸,未,庚,辰,丙戌,金,收,2黑,箕,角,離
